epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8885,1.85226,6.60515,1.48696,0,0,0,0,1.74895,6.30493,1.65541,1.92e-05,1.92e-05,1.92e-05
2,41.3475,1.81933,6.3315,1.53639,0,0,0,0,1.68699,6.27171,1.49696,3.89894e-05,3.89894e-05,3.89894e-05
3,61.3296,1.86017,6.59951,1.49944,0,0,0,0,1.66102,6.23931,1.43435,5.7385e-05,5.7385e-05,5.7385e-05
4,82.5384,1.62971,6.20197,1.37322,0,0,0,0,1.63941,6.14332,1.37147,7.43866e-05,7.43866e-05,7.43866e-05
5,103.053,1.95307,6.41614,1.51233,0,0,0,0,1.65907,6.07772,1.3502,8.99942e-05,8.99942e-05,8.99942e-05
6,125.274,1.69821,5.93466,1.37224,0,0,0,0,1.66991,6.01716,1.33333,0.000104208,0.000104208,0.000104208
7,145.281,1.59626,5.56738,1.33627,0.08333,0.02778,0.05555,0.04006,1.55463,5.97314,1.26748,0.000117028,0.000117028,0.000117028
8,164.022,1.56088,5.35052,1.28227,0.08333,0.02778,0.05555,0.04006,1.53441,5.87722,1.25852,0.000128454,0.000128454,0.000128454
9,183.331,1.70117,5.44074,1.34851,0.16667,0.0318,0.04298,0.02523,1.49999,5.77276,1.23624,0.000138486,0.000138486,0.000138486
10,201.755,1.39539,4.89518,1.22,0.25,0.03399,0.04142,0.0231,1.48044,5.65621,1.2071,0.000134976,0.000134976,0.000134976
11,220.077,1.44248,4.83609,1.2132,0.41667,0.03436,0.043,0.02623,1.48423,5.55322,1.2248,0.00012864,0.00012864,0.00012864
12,244.847,1.38202,4.41629,1.16161,0.65251,0.03472,0.05057,0.02889,1.43762,5.27872,1.1844,0.000122304,0.000122304,0.000122304
13,262.862,1.52803,4.41208,1.20873,0.63521,0.04597,0.04948,0.02775,1.43145,5.18779,1.18146,0.000115968,0.000115968,0.000115968
14,282.7,1.46599,4.36305,1.18225,0.80505,0.05417,0.05321,0.03021,1.41213,5.11881,1.17445,0.000109632,0.000109632,0.000109632
15,303.386,1.47499,4.56344,1.18531,0.80404,0.05556,0.05598,0.03202,1.39983,5.10385,1.15484,0.000103296,0.000103296,0.000103296
16,322.179,1.43936,4.1291,1.21116,0.80547,0.05533,0.05708,0.03359,1.37727,5.14615,1.13393,9.696e-05,9.696e-05,9.696e-05
17,343.454,1.34857,4.10039,1.12696,0.81544,0.11111,0.05879,0.03337,1.38083,5.19313,1.1431,9.0624e-05,9.0624e-05,9.0624e-05
18,364.913,1.24686,3.91571,1.09981,0.82222,0.10928,0.06021,0.03375,1.38988,5.21294,1.15188,8.4288e-05,8.4288e-05,8.4288e-05
19,393.133,1.48471,4.12299,1.2025,0.82933,0.10371,0.05851,0.03155,1.37293,5.26691,1.14996,7.7952e-05,7.7952e-05,7.7952e-05
20,413.968,1.33134,3.72409,1.16801,0.83025,0.10417,0.06881,0.03387,1.35433,5.25114,1.14136,7.1616e-05,7.1616e-05,7.1616e-05
21,433.122,1.41456,4.63343,1.19468,0.81362,0.09087,0.08066,0.03232,1.37247,5.19032,1.14516,6.528e-05,6.528e-05,6.528e-05
22,453.479,1.5979,5.07015,1.17418,0.82262,0.07639,0.08108,0.03292,1.39787,5.14881,1.14364,5.8944e-05,5.8944e-05,5.8944e-05
23,473.426,1.39047,4.39261,1.11649,0.82289,0.07628,0.0799,0.03394,1.39727,5.10868,1.14094,5.2608e-05,5.2608e-05,5.2608e-05
24,492.277,1.37913,4.44821,1.103,0.82498,0.08216,0.08287,0.0367,1.3916,5.0866,1.13901,4.6272e-05,4.6272e-05,4.6272e-05
25,511.449,1.36384,4.42242,1.10283,0.82876,0.10762,0.06187,0.03698,1.35187,5.03495,1.10382,3.9936e-05,3.9936e-05,3.9936e-05
26,531.136,1.37813,4.21588,1.12878,0.8306,0.10982,0.06355,0.03861,1.34321,4.99422,1.09569,3.36e-05,3.36e-05,3.36e-05
27,549.982,1.33422,4.29437,1.06789,0.83299,0.11111,0.06236,0.03834,1.33706,4.99651,1.08911,2.7264e-05,2.7264e-05,2.7264e-05
28,571.494,1.33949,4.4341,1.0529,0.91424,0.11111,0.06148,0.03785,1.34388,4.91243,1.08802,2.0928e-05,2.0928e-05,2.0928e-05
29,590.902,1.35394,4.18084,1.12119,0.9167,0.11111,0.06441,0.03807,1.34457,4.90686,1.08735,1.4592e-05,1.4592e-05,1.4592e-05
30,609.862,1.30913,4.51844,1.10897,0.91706,0.11111,0.06575,0.03738,1.33668,4.89892,1.09198,8.256e-06,8.256e-06,8.256e-06
